Gen 1 | Best=43 | Diversity=1.0000 | TimeMs=15
Gen 2 | Best=44 | Diversity=1.0000 | TimeMs=17
Gen 3 | Best=44 | Diversity=1.0000 | TimeMs=17
Gen 4 | Best=44 | Diversity=1.0000 | TimeMs=17
Gen 5 | Best=45 | Diversity=0.9500 | TimeMs=29
Gen 6 | Best=45 | Diversity=0.9500 | TimeMs=16
Gen 7 | Best=45 | Diversity=1.0000 | TimeMs=16
Gen 8 | Best=47 | Diversity=1.0000 | TimeMs=15
Gen 9 | Best=47 | Diversity=0.9500 | TimeMs=15
Gen 10 | Best=47 | Diversity=0.9500 | TimeMs=16
Gen 11 | Best=47 | Diversity=0.8500 | TimeMs=17
Gen 12 | Best=47 | Diversity=0.8000 | TimeMs=17
Gen 13 | Best=47 | Diversity=0.8000 | TimeMs=17
Gen 14 | Best=47 | Diversity=0.9500 | TimeMs=16
Gen 15 | Best=47 | Diversity=0.8000 | TimeMs=18
Gen 16 | Best=47 | Diversity=0.8500 | TimeMs=17
Gen 17 | Best=48 | Diversity=0.9000 | TimeMs=16
Gen 18 | Best=48 | Diversity=0.9500 | TimeMs=15
Gen 19 | Best=48 | Diversity=1.0000 | TimeMs=17
Gen 20 | Best=48 | Diversity=0.9500 | TimeMs=17
Gen 21 | Best=48 | Diversity=0.9500 | TimeMs=16
Gen 22 | Best=48 | Diversity=0.8000 | TimeMs=14
Gen 23 | Best=48 | Diversity=0.9000 | TimeMs=17
Gen 24 | Best=48 | Diversity=0.9500 | TimeMs=17
Gen 25 | Best=48 | Diversity=0.9000 | TimeMs=17
Gen 26 | Best=48 | Diversity=0.8500 | TimeMs=20
Gen 27 | Best=48 | Diversity=0.7500 | TimeMs=18
Gen 28 | Best=48 | Diversity=0.8000 | TimeMs=18
Gen 29 | Best=48 | Diversity=0.9000 | TimeMs=17
Gen 30 | Best=48 | Diversity=0.9000 | TimeMs=17
Gen 31 | Best=48 | Diversity=0.8000 | TimeMs=16
Gen 32 | Best=48 | Diversity=0.8000 | TimeMs=18
Gen 33 | Best=48 | Diversity=0.7500 | TimeMs=17
Gen 34 | Best=49 | Diversity=0.8500 | TimeMs=17
Gen 35 | Best=49 | Diversity=0.9000 | TimeMs=16
Gen 36 | Best=49 | Diversity=0.7500 | TimeMs=18
Gen 37 | Best=49 | Diversity=0.9500 | TimeMs=19
Gen 38 | Best=49 | Diversity=0.9000 | TimeMs=19
Gen 39 | Best=49 | Diversity=0.8500 | TimeMs=18
Gen 40 | Best=49 | Diversity=0.7500 | TimeMs=16
Gen 41 | Best=49 | Diversity=0.7500 | TimeMs=16
Gen 42 | Best=49 | Diversity=0.7500 | TimeMs=18
Gen 43 | Best=49 | Diversity=0.8000 | TimeMs=17
Gen 44 | Best=49 | Diversity=0.9500 | TimeMs=17
Gen 45 | Best=49 | Diversity=0.7500 | TimeMs=16
Gen 46 | Best=49 | Diversity=0.8500 | TimeMs=15
Gen 47 | Best=49 | Diversity=0.7000 | TimeMs=17
Gen 48 | Best=49 | Diversity=0.6500 | TimeMs=17
Gen 49 | Best=49 | Diversity=0.5500 | TimeMs=18
Gen 50 | Best=49 | Diversity=0.8000 | TimeMs=19
